index,brand,model,Specification,Device,price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty
647,lg,LG gram360 16,13th Gen Core i7/ 16GB/ 1TB SSD/ Win11,Laptop,152499,78,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,TRUE,16,1600,2560,windows,1
648,hp,HP Chromebook 15a-nb0002TU, Intel Core i3-N305/ 8GB/ 256GB SSD/ Chrome OS,Laptop,50990,38,intel,core i3,8,8,8,SSD,256,No secondary storage,0,intel,integrated,FALSE,15.6,1366,768,chrome,1
649,lg,LG Gram 14 2023 14Z90R-G.CH75A2,13th Gen Core i7/ 16GB/ 512GB SSD/ Win11,Laptop,117899,69,intel,core i7,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1200,1920,windows,1
650,acer,Acer Nitro 5 AN515-58 UN.QFHSI.026,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,71990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
651,asus,Asus Vivobook 15 2023 X1504VA-NJ544WS,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,63990,65,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
652,walker,Walker NU14A1,Celeron N4020/ 4GB/ 128GB SSD / Win11 Home,Laptop,15990,37,intel,celeron,2,2,4,SSD,128,No secondary storage,0,intel,integrated,FALSE,14.1,1920,1080,windows,1
653,hp,HP 255 G8 6E3Z0PA,Ryzen 3 3250U/ 8GB/512GB SSD/ Dos,Laptop,23999,52,amd,ryzen 3,2,4,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1366,768,dos,1
654,dell,Dell Inspiron 14 5430 2023,13th Gen Core i5/ 8GB/ 1TB SSD/ Win11,Laptop,65500,60,intel,core i5,10,12,8,SSD,1024,No secondary storage,0,intel,integrated,FALSE,14,1920,1200,windows,1
655,dell,Dell Inspiron 2023 14 5430,13th Gen Core i5/ 16GB/ 1TB SSD/ Win11,Laptop,73990,63,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,FALSE,14,1920,1200,windows,1
656,hp,HP Omen 16-wd0990TX,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph,Gaming Laptop,97999,73,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16.1,2560,1440,windows,1
657,lenovo,Lenovo S14 Gen 3 82TW001CIH,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,Laptop,52990,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,2
658,lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN,AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,62990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
659,msi,MSI Katana GF66 12UCOK 2023,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,73990,65,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,2
660,lenovo,Lenovo ThinkBook 15 21JF002CIN,AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ DOS,Laptop,32899,59,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,dos,1
661,lenovo,Lenovo IdeaPad 1 14IGL7 82V6005EIN,Celeron Dual Core/ 8GB/ 256GB SSD/ Win11 Home,Laptop,24990,50,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,FALSE,14,1366,768,windows,1
662,msi,MSI Thin GF63 11SC-1477IN,11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,47990,67,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,2
663,asus,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,73990,60,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
664,asus,Asus Vivobook 16X 2023 K3605ZU-MB541WS,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph,Laptop,99990,75,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
